,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
68,ACXP,"Acurx Pharmaceuticals, Inc.",1.77,-3.28%,-0.06,17242.0,30518.0,22902000.0,-54.14%,N/A,-1.10,N/A,Health Technology
69,ADBE,Adobe Inc.,513.78,-1.31%,-6.82,1843000.0,947043000.0,234181000000.0,18.86%,49.03,10.50,29239.0,Technology Services
70,ADCT,ADC Therapeutics SA,1.50,-6.25%,-0.10,283138.0,424707.0,120964000.0,-78.95%,N/A,-2.52,N/A,Health Technology
71,ADD,"Color Star Technology Co., Ltd.",1.28,0.14%,0.00,6617.0,8482.0,12266000.0,-46.41%,N/A,-100.83,N/A,Technology Services
72,ADEA,Adeia Inc.,10.21,1.69%,0.17,677576.0,6915000.0,1089000000.0,-35.67%,N/A,-2.73,N/A,Technology Services
73,ADER,26 Capital Acquisition Corp.,11.27,-0.09%,-0.01,7179.0,80907.0,116140000.0,-66.15%,127.49,0.09,N/A,Finance
74,ADES,"Advanced Emissions Solutions, Inc.",2.55,-3.04%,-0.08,66903.0,170603.0,69434000.0,-20.88%,N/A,-0.63,N/A,Process Industries
75,ADI,"Analog Devices, Inc.",184.81,-0.96%,-1.80,2341000.0,432720000.0,93487000000.0,7.72%,26.19,7.11,24450.0,Electronic Technology
76,ADIL,"Adial Pharmaceuticals, Inc",4.82,-15.29%,-0.87,116604.0,562031.0,5773000.0,-51.33%,N/A,-12.41,N/A,Health Technology
77,ADM,Archer-Daniels-Midland Company,85.85,-0.68%,-0.59,1837000.0,157703000.0,46024000000.0,-0.23%,11.46,7.53,42001.0,Process Industries
78,ADMA,ADMA Biologics Inc,4.06,-1.93%,-0.08,1690000.0,6860000.0,902428000.0,130.86%,N/A,-0.24,N/A,Health Technology
79,ADMP,Adamis Pharmaceuticals Corporation,1.35,-0.74%,-0.01,1342000.0,1812000.0,10247000.0,-81.41%,N/A,-11.62,N/A,Health Technology
80,ADN,"Advent Technologies Holdings, Inc.",0.7709,-0.14%,-0.0011,156806.0,120882.0,40933000.0,-70.91%,N/A,-1.59,N/A,Electronic Technology
81,ADNT,Adient plc,43.88,-2.05%,-0.92,1044999.9999999999,45869000.0,4110000000.0000005,28.46%,36.23,1.22,75000.0,Producer Manufacturing
82,ADOC,Edoc Acquisition Corp.,11.24,-0.97%,-0.11,47255.0,531146.0,41120000.0,-26.27%,N/A,-0.70,N/A,Finance
83,ADP,"Automatic Data Processing, Inc.",250.31,0.79%,1.97,1145000.0,286618000.0,103124000000.0,-1.43%,30.50,8.25,63000.0,Technology Services
84,ADPT,Adaptive Biotechnologies Corporation,6.49,-2.41%,-0.16,1032000.0,6697000.0,938747000.0,-39.67%,N/A,-1.33,N/A,Health Technology
85,ADRT,Ault Disruptive Technologies Corporation,11.55,0.00%,0.00,11854.0,136914.0,34902000.0,-75.84%,231.93,0.05,N/A,Finance
86,ADSE,ADS-TEC ENERGY PLC,6.56,10.53%,0.63,66309.0,434987.0,321128000.0,-18.46%,N/A,-0.40,N/A,Producer Manufacturing
87,ADSK,"Autodesk, Inc.",204.77,0.76%,1.54,1949000.0,399190000.0,43765000000.0,-8.36%,53.03,3.88,13700.0,Technology Services
88,ADT,ADT Inc.,6.48,2.69%,0.17,2955000.0,19148000.0,5617000000.0,-18.18%,N/A,-0.05,22000.0,Commercial Services
89,ADTH,"AdTheorent Holding Company, Inc.",1.47,-10.37%,-0.17,174510.0,256529.99999999997,129661000.0,-47.73%,8.54,0.19,N/A,Technology Services
90,ADTN,"ADTRAN Holdings, Inc.",7.55,-0.40%,-0.03,2190000.0,16530999.999999998,593848000.0,-67.37%,N/A,-0.94,3307.0,Electronic Technology
91,ADTX,"Aditxt, Inc.",0.3621,-2.14%,-0.0079,39398.0,14266.0,2448000.0,-71.30%,N/A,-14.90,N/A,Health Technology
92,ADUS,Addus HomeCare Corporation,95.62,1.22%,1.15,67712.0,6475000.0,1550000000.0,2.01%,28.88,3.37,33182.0,Health Services
93,ADV,Advantage Solutions Inc.,2.62,-1.13%,-0.03,287029.0,752016.0,850320000.0,-36.59%,N/A,-4.56,75000.0,Commercial Services
94,ADVM,"Adverum Biotechnologies, Inc.",1.85,0.00%,0.00,132402.0,244944.0,186064000.0,26.43%,N/A,-1.46,N/A,Health Technology
95,AE,"Adams Resources & Energy, Inc.",34.85,0.79%,0.27,12598.0,439091.0,88344000.0,-40.10%,N/A,-2.07,N/A,Distribution Services
96,AEAE,AltEnergy Acquisition Corp.,10.68,2.50%,0.26,317812.0,3394000.0,365790000.0,24.92%,46.31,0.23,N/A,Finance
97,AEE,Ameren Corporation,81.01,-0.42%,-0.34,958416.0,77641000.0,21285000000.0,-11.43%,18.96,4.29,9244.0,Utilities
98,AEHL,Antelope Enterprise Holdings Limited,0.6626,-2.53%,-0.0172,71714.0,47518.0,11922000.0,76.76%,N/A,-1.26,N/A,Producer Manufacturing
99,AEHR,Aehr Test Systems,47.72,-0.69%,-0.33,770292.0,36758000.0,1352000000.0,204.49%,95.59,0.52,N/A,Electronic Technology
100,AEI,Alset Inc.,1.49,-0.09%,-0.00,8418.0,12531.0,13747000.0,-72.99%,N/A,,N/A,Finance
101,AEIS,"Advanced Energy Industries, Inc.",113.83,-1.04%,-1.20,96838.0,11023000.0,4285999999.9999995,28.35%,24.38,4.70,12000.0,Electronic Technology
102,AEL,American Equity Investment Life Holding Company,53.29,0.55%,0.29,481272.0,25647000.0,4151000000.0,15.08%,9.83,5.52,N/A,Finance
103,AEMD,"Aethlon Medical, Inc.",0.3384,2.55%,0.0084,101364.0,34302.0,8404000.0,-72.68%,N/A,-0.60,N/A,Health Technology
104,AENT,Alliance Entertainment Holding Corporation,2.08,1.46%,0.03,5417.0,11267.0,229845000.0,N/A,10.16,0.20,N/A,Distribution Services
105,AEO,"American Eagle Outfitters, Inc.",15.41,0.13%,0.02,2971000.0,45780000.0,3043000000.0,56.12%,27.93,0.58,40000.0,Retail Trade
106,AEON,"AEON Biopharma, Inc.",7.89,7.20%,0.53,57792.0,455979.0,216429000.0,-40.59%,N/A,-0.41,N/A,Health Technology
107,AEP,"American Electric Power Company, Inc.",80.71,-0.14%,-0.11,3878000.0,313000000.0,41580000000.0,-19.41%,20.97,3.86,16974.0,Utilities
108,AER,AerCap Holdings N.V.,62.93,-1.67%,-1.07,868276.0,54641000.0,15547000000.0,40.40%,8.11,7.82,N/A,Finance
